code,ric
AAPL,AAPL.O
MSFT,MSFT.O
AMZN,AMZN.O
GOOGL,GOOGL.O
GOOG,GOOG.O
TSLA,TSLA.O
BRK-B,BRKb
UNH,UNH
JNJ,JNJ
NVDA,NVDA.O
XOM,XOM
META,META.O
JPM,JPM
CVX,CVX
V,V
PG,PG
HD,HD
MA,MA
PFE,PFE
ABBV,ABBV.K
BAC,BAC
LLY,LLY
KO,KO
AVGO,AVGO.O
PEP,PEP.O
MRK,MRK
VZ,VZ
TMO,TMO
COST,COST.O
ADBE,ADBE.O
ABT,ABT
CMCSA,CMCSA.O
DIS,DIS
ACN,ACN
CSCO,CSCO.O
CRM,CRM
MCD,MCD
WMT,WMT
WFC,WFC
BMY,BMY
DHR,DHR
LIN,LIN
INTC,INTC.O
AMD,AMD.O
PM,PM
COP,COP
QCOM,QCOM.O
NEE,NEE
NKE,NKE
TXN,TXN.O
T,T
RTX,RTX
UNP,UNP
AMGN,AMGN.O
HON,HON.O
LOW,LOW
UPS,UPS
MDT,MDT
IBM,IBM
CVS,CVS
AMT,AMT
CAT,CAT
SPGI,SPGI.K
ANTM,ANTM.K
MS,MS
INTU,INTU.O
ORCL,ORCL.K
LMT,LMT
GS,GS
AXP,AXP
C,C
NOW,NOW
PYPL,PYPL.O
DE,DE
SCHW,SCHW.K
AMAT,AMAT.O
BLK,BLK
BKNG,BKNG.O
SBUX,SBUX.O
ADP,ADP.O
PLD,PLD
MO,MO
CB,CB
NFLX,NFLX.O
MDLZ,MDLZ.O
ADI,ADI.O
EOG,EOG
CI,CI
DUK,DUK
MMM,MMM
GE,GE
ZTS,ZTS
TMUS,TMUS.O
CCI,CCI
SO,SO
MMC,MMC
GILD,GILD.O
ISRG,ISRG.O
TGT,TGT
MU,MU.O
SYK,SYK
BA,BA
TJX,TJX
CME,CME.O
BDX,BDX
CSX,CSX.O
LRCX,LRCX.O
PNC,PNC
USB,USB
NOC,NOC
SLB,SLB
PGR,PGR
VRTX,VRTX.O
CL,CL
MPC,MPC
D,D
TFC,TFC
SHW,SHW
PXD,PXD
REGN,REGN.O
FIS,FIS
EL,EL
ATVI,ATVI.O
EQIX,EQIX.O
FCX,FCX
WM,WM
EW,EW
VLO,VLO
ITW,ITW
OXY,OXY
HUM,HUM
CHTR,CHTR.O
NSC,NSC
FISV,FISV.O
ETN,ETN
APD,APD
ICE,ICE
AON,AON
DG,DG
BSX,BSX
EMR,EMR
GM,GM
FDX,FDX
KLAC,KLAC.O
F,F
GD,GD
NEM,NEM
PSX,PSX
SRE,SRE
AEP,AEP.O
COF,COF
NXPI,NXPI.O
DVN,DVN
SNPS,SNPS.O
DOW,DOW
HCA,HCA
ADM,ADM
MRNA,MRNA.O
LHX,LHX
PSA,PSA
MCK,MCK
CNC,CNC
MET,MET
AIG,AIG
MAR,MAR.O
EXC,EXC.O
MCO,MCO
CTVA,CTVA.K
AZO,AZO
WMB,WMB
CDNS,CDNS.O
KMB,KMB
ADSK,ADSK.O
ROP,ROP
SYY,SYY
TEL,TEL
ORLY,ORLY.O
TRV,TRV
IQV,IQV
APH,APH
GIS,GIS
FTNT,FTNT.O
ECL,ECL
HPQ,HPQ
STZ,STZ
PAYX,PAYX.O
PRU,PRU
EA,EA.O
CMG,CMG
XEL,XEL.O
HAL,HAL
DLR,DLR
JCI,JCI
HLT,HLT
KMI,KMI
A,A
O,O
CTSH,CTSH.O
MCHP,MCHP.O
SBAC,SBAC.O
WELL,WELL.K
MSI,MSI
DLTR,DLTR.O
ALL,ALL
BAX,BAX
PH,PH
ILMN,ILMN.O
HES,HES
GPN,GPN
MSCI,MSCI.K
WBD,WBD.O
CTAS,CTAS.O
AFL,AFL
DD,DD
SPG,SPG
YUM,YUM
KR,KR
NUE,NUE
MNST,MNST.O
ED,ED
CARR,CARR.K
IFF,IFF
PEG,PEG
AJG,AJG
BKR,BKR.O
BK,BK
OTIS,OTIS.K
TDG,TDG
TWTR,TWTR.K
TT,TT
WEC,WEC
MTB,MTB
DFS,DFS
RMD,RMD
IDXX,IDXX.O
PCAR,PCAR.O
HSY,HSY
CMI,CMI
FAST,FAST.O
ES,ES
WBA,WBA.O
BIIB,BIIB.O
AMP,AMP
OKE,OKE
PPG,PPG
EBAY,EBAY.O
APTV,APTV.K
MTD,MTD
DXCM,DXCM.O
LYB,LYB
ROST,ROST.O
CTRA,CTRA.K
WY,WY
ALB,ALB
TROW,TROW.O
SIVB,SIVB.O
AME,AME
AWK,AWK
AVB,AVB
RSG,RSG
ENPH,ENPH.O
VRSK,VRSK.O
FANG,FANG.O
FRC,FRC
KEYS,KEYS.K
KHC,KHC.O
VICI,VICI.K
FITB,FITB.O
GLW,GLW
EIX,EIX
CBRE,CBRE.K
TSN,TSN
STT,STT
DTE,DTE
LUV,LUV
WTW,WTW.O
ROK,ROK
EQR,EQR
MRO,MRO
CPRT,CPRT.O
ZBH,ZBH
DHI,DHI
ODFL,ODFL.O
CDW,CDW.O
DAL,DAL
HIG,HIG
EFX,EFX
ETR,ETR
FE,FE
AEE,AEE
ULTA,ULTA.O
TSCO,TSCO.O
BALL,BALL.K
MTCH,MTCH.O
EXR,EXR
WST,WST
STE,STE
NTRS,NTRS.O
ANET,ANET.K
ARE,ARE
PPL,PPL
FTV,FTV
ANSS,ANSS.O
MKC,MKC
ABC,ABC
GWW,GWW
URI,URI
LH,LH
VMC,VMC
VTR,VTR
IT,IT
CHD,CHD
MLM,MLM
WAT,WAT
LEN,LEN
TTWO,TTWO.O
RF,RF
AMCR,AMCR.K
GPC,GPC
CEG,CEG.O
MOS,MOS
DRE,DRE
CTLT,CTLT.K
CMS,CMS
IR,IR
FLT,FLT
MAA,MAA
MPWR,MPWR.O
CFG,CFG
ALGN,ALGN.O
CNP,CNP
HPE,HPE
CF,CF
SWK,SWK
DOV,DOV
HBAN,HBAN.O
PWR,PWR
HOLX,HOLX.O
PKI,PKI
CINF,CINF.O
TDY,TDY
EXPE,EXPE.O
APA,APA.O
IP,IP
EPAM,EPAM.K
WDC,WDC.O
NDAQ,NDAQ.O
SYF,SYF
PARA,PARA.O
ESS,ESS
WAB,WAB
GNRC,GNRC.K
K,K
KEY,KEY
RJF,RJF
J,J
EXPD,EXPD.O
PFG,PFG.O
SWKS,SWKS.O
CE,CE
VRSN,VRSN.O
ZBRA,ZBRA.O
POOL,POOL.O
STX,STX.O
COO,COO
BR,BR
TER,TER.O
TRMB,TRMB.O
MOH,MOH
KMX,KMX
BBY,BBY
AKAM,AKAM.O
CLX,CLX
DGX,DGX
DRI,DRI
VFC,VFC
CAG,CAG
EVRG,EVRG.K
SEDG,SEDG.O
ATO,ATO
GRMN,GRMN.K
NTAP,NTAP.O
IRM,IRM
LNT,LNT.O
XYL,XYL
PKG,PKG
TXT,TXT
CAH,CAH
FMC,FMC
OMC,OMC
WRB,WRB
PAYC,PAYC.K
IEX,IEX
LDOS,LDOS.K
AVY,AVY
TYL,TYL
AES,AES
DPZ,DPZ
NVR,NVR
HST,HST.O
NLOK,NLOK.O
EMN,EMN
VTRS,VTRS.O
FDS,FDS
BXP,BXP
PEAK,PEAK.K
JBHT,JBHT.O
CPT,CPT
LKQ,LKQ.O
TECH,TECH.O
SJM,SJM
UAL,UAL.O
INCY,INCY.O
MAS,MAS
UDR,UDR
SBNY,SBNY.O
JKHY,JKHY.O
CHRW,CHRW.O
HWM,HWM
BRO,BRO
KIM,KIM
MGM,MGM
HRL,HRL
LYV,LYV
TFX,TFX
WRK,WRK
BF-B,BFb
CTXS,CTXS.O
LVS,LVS
L,L
CBOE,CBOE.K
PTC,PTC.O
IPG,IPG
SNA,SNA
NI,NI
NDSN,NDSN.O
ABMD,ABMD.O
AAP,AAP
HSIC,HSIC.O
QRVO,QRVO.O
CRL,CRL
HAS,HAS.O
NRG,NRG
BIO,BIO
PHM,PHM
RCL,RCL
RE,RE
CZR,CZR.O
FOXA,FOXA.O
LUMN,LUMN.K
ETSY,ETSY.O
CMA,CMA
MKTX,MKTX.O
WHR,WHR
AIZ,AIZ
AAL,AAL.O
TAP,TAP
LW,LW
RHI,RHI
ALLE,ALLE.K
FFIV,FFIV.O
JNPR,JNPR.K
CPB,CPB
REG,REG.O
FBHS,FBHS.K
BWA,BWA
CCL,CCL
BBWI,BBWI.K
OGN,OGN
LNC,LNC
SEE,SEE
TPR,TPR
NLSN,NLSN.K
GL,GL
UHS,UHS
DXC,DXC
HII,HII
XRAY,XRAY.O
ZION,ZION.O
PNW,PNW
PNR,PNR
AOS,AOS
MHK,MHK
ROL,ROL
NWL,NWL.O
CDAY,CDAY.K
FRT,FRT
BEN,BEN
WYNN,WYNN.O
NWSA,NWSA.O
IVZ,IVZ
DVA,DVA
ALK,ALK
NCLH,NCLH.K
PENN,PENN.O
VNO,VNO
DISH,DISH.O
RL,RL
PVH,PVH
FOX,FOX.O
IPGP,IPGP.O
NWS,NWS.O
UAA,UAA
UA,UA
EMBC,EMBC.O
